  # Astr silicate from Weingartner & Draine (2001), extended to X-rays by V.Z.
  # lamda [mu]         n - 1              k
  8.31815598e-01  6.66738530e-01  3.08381110e-02
  8.35480380e-01  6.66727881e-01  3.08453922e-02
  8.39161307e-01  6.66717415e-01  3.08526416e-02
  8.42858452e-01  6.66707205e-01  3.08600418e-02
  8.46571886e-01  6.66697458e-01  3.08676869e-02
  8.50301680e-01  6.66688223e-01  3.08752984e-02
  8.54047907e-01  6.66679444e-01  3.08829524e-02
  8.57810639e-01  6.66671161e-01  3.08905946e-02
  8.61589948e-01  6.66663390e-01  3.08981558e-02
  8.65385908e-01  6.66655965e-01  3.09054313e-02
  8.69198593e-01  6.66648757e-01  3.09126750e-02
  8.73028075e-01  6.66641832e-01  3.09199301e-02
  8.76874428e-01  6.66635221e-01  3.09271902e-02
  8.80737728e-01  6.66628902e-01  3.09344185e-02
  8.84618049e-01  6.66622888e-01  3.09416962e-02
  8.88515466e-01  6.66617197e-01  3.09489491e-02
  8.92430053e-01  6.66611802e-01  3.09561948e-02
  8.96361888e-01  6.66606731e-01  3.09634661e-02
  9.00311045e-01  6.66602049e-01  3.09707055e-02
  9.04277601e-01  6.66597654e-01  3.09777082e-02
  9.08261633e-01  6.66593389e-01  3.09845849e-02
  9.12263217e-01  6.66589226e-01  3.09914365e-02
  9.16282432e-01  6.66585210e-01  3.09983325e-02
  9.20319354e-01  6.66581303e-01  3.10051983e-02
  9.24374062e-01  6.66577503e-01  3.10122403e-02
  9.28446634e-01  6.66574014e-01  3.10195088e-02
  9.32537149e-01  6.66570945e-01  3.10267454e-02
  9.36645686e-01  6.66568090e-01  3.10336990e-02
  9.40772324e-01  6.66565237e-01  3.10405694e-02
  9.44917142e-01  6.66562354e-01  3.10475059e-02
  9.49080222e-01  6.66559669e-01  3.10547812e-02
  9.53261644e-01  6.66557357e-01  3.10620245e-02
  9.57461488e-01  6.66555244e-01  3.10690584e-02
  9.61679835e-01  6.66553131e-01  3.10759371e-02
  9.65916768e-01  6.66550862e-01  3.10827856e-02
  9.70172367e-01  6.66548651e-01  3.10900505e-02
