  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  1.50642612e-02  -2.45149000e-02  9.61022000e-03
  1.52742475e-02  -2.51225000e-02  9.98671000e-03
  1.54871562e-02  -2.57441000e-02  1.03780000e-02
  1.57030449e-02  -2.63799000e-02  1.07847000e-02
  1.59219332e-02  -2.70301000e-02  1.12075000e-02
  1.61438814e-02  -2.76947000e-02  1.16469000e-02
  1.63689103e-02  -2.83740000e-02  1.21037000e-02
  1.65970832e-02  -2.90682000e-02  1.25785000e-02
  1.68284447e-02  -2.97776000e-02  1.30720000e-02
  1.70630170e-02  -3.05023000e-02  1.35851000e-02
  1.73008693e-02  -3.12427000e-02  1.41184000e-02
  1.75420253e-02  -3.19992000e-02  1.46729000e-02
  1.77865584e-02  -3.27730000e-02  1.52501000e-02
  1.80344943e-02  -3.35613000e-02  1.58534000e-02
  1.82858843e-02  -3.43638000e-02  1.64812000e-02
  1.85407815e-02  -3.51811000e-02  1.71340000e-02
  1.87992411e-02  -3.60133000e-02  1.78130000e-02
  1.90612909e-02  -3.68605000e-02  1.85190000e-02
  1.93269880e-02  -3.77226000e-02  1.92532000e-02
  1.95963917e-02  -3.85991000e-02  2.00167000e-02
  1.98695635e-02  -3.94896000e-02  2.08105000e-02
  2.01465350e-02  -4.03945000e-02  2.16360000e-02
  2.04273705e-02  -4.13133000e-02  2.24942000e-02
  2.07121026e-02  -4.22460000e-02  2.33866000e-02
  2.10008339e-02  -4.31922000e-02  2.43145000e-02
  2.12935648e-02  -4.41510000e-02  2.52797000e-02
  2.15903656e-02  -4.51219000e-02  2.62833000e-02
  2.18913491e-02  -4.61026000e-02  2.73271000e-02
  2.21964768e-02  -4.70933000e-02  2.84128000e-02
  2.25059052e-02  -4.80929000e-02  2.95419000e-02
  2.28196357e-02  -4.90998000e-02  3.07162000e-02
  2.31377080e-02  -5.01121000e-02  3.19376000e-02
  2.34602499e-02  -5.11281000e-02  3.32080000e-02
  2.37872616e-02  -5.21448000e-02  3.45293000e-02
  2.41188321e-02  -5.31544000e-02  3.59037000e-02
